2025,Institution,Country / Territory,Rank2025,institution_clean
104,University of Copenhagen,Denmark,104.0,university of copenhagen
=105,King Fahd University of Petroleum & Minerals,Saudi Arabia,105.0,king fahd university of petroleum minerals
=105,University of Alberta,Canada,105.0,university of alberta
=107,Boston University,United States of America,107.0,boston university
=107,Brown University,United States of America,107.0,brown university
=107,Indian Institute of Technology Madras (IITM),India,107.0,indian institute of technology madras iitm
=110,Indian Institute of Science,India,110.0,indian institute of science
=110,Indian Institute of Technology Kanpur (IITK),India,110.0,indian institute of technology kanpur iitk
=110,Indian Institute of Technology Kharagpur (IIT-KGP),India,110.0,indian institute of technology kharagpur iitkgp
=110,KIT. Karlsruhe Institute of Technology,Germany,110.0,kit karlsruhe institute of technology
=110,Politecnico di Torino,Italy,110.0,politecnico di torino
=110,Trinity College Dublin. The University of Dublin,Ireland,110.0,trinity college dublin the university of dublin
=110,University of Wisconsin-Madison,United States of America,110.0,university of wisconsin
=110,Vellore Institute of Technology (VIT),India,110.0,vellore institute of technology vit
118,Northwestern University,United States of America,118.0,northwestern university
=119,Aarhus University,Denmark,119.0,aarhus university
=119,Universidade Estadual de Campinas (Unicamp),Brazil,119.0,universidade estadual de campinas unicamp
=119,University of Zurich,Switzerland,119.0,university of zurich
=122,Aalto University,Finland,122.0,aalto university
=122,RWTH Aachen University,Germany,122.0,rwth aachen university
=122,University of California. Irvine,United States of America,122.0,university of california irvine
125,Université catholique de Louvain (UCLouvain),Belgium,125.0,universit catholique de louvain uclouvain
126,The London School of Economics and Political Science (LSE),United Kingdom,126.0,the london school of economics and political science lse
=127,Universidad Nacional Autónoma de México (UNAM),Mexico,127.0,universidad nacional autnoma de mxico unam
=127,University of Massachusetts Amherst,United States of America,127.0,university of massachusetts amherst
129,Sun Yat-sen University,China (Mainland),129.0,sun yatsen university
=130,National Tsing Hua University,Taiwan,130.0,national tsing hua university
=130,Pontificia Universidad Católica de Chile (UC),Chile,130.0,pontificia universidad catlica de chile uc
=132,Lancaster University,United Kingdom,132.0,lancaster university
=132,Universitat de Barcelona,Spain,132.0,universitat de barcelona
=134,Arizona State University,United States of America,134.0,arizona state university
=134,University of Bristol,United Kingdom,134.0,university of bristol
=136,Humboldt-Universität zu Berlin,Germany,136.0,humboldtuniversitt zu berlin
=136,Michigan State University,United States of America,136.0,michigan state university
=136,Tokyo Institute of Technology (Tokyo Tech),Japan,136.0,tokyo institute of technology tokyo tech
=139,Singapore Management University,Singapore,139.0,singapore management university
=139,University of Oslo,Norway,139.0,university of oslo
=139,University of Pisa,Italy,139.0,university of pisa
=142,University of Glasgow,United Kingdom,142.0,university of glasgow
=142,Utrecht University,Netherlands,142.0,utrecht university
=144,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,144.0,universitat politcnica de catalunya barcelonatech upc
=144,University of Vienna,Austria,144.0,university of vienna
=146,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,146.0,king abdullah university of science technology kaust
=146,Texas A&M University,United States of America,146.0,texas am university
=146,Universidad de Chile,Chile,146.0,universidad de chile
=149,Technion - Israel Institute of Technology,Israel,149.0,technion israel institute of technology
=149,Virginia Polytechnic Institute and State University,United States of America,149.0,virginia polytechnic institute and state university
