2025,Institution,Country / Territory,Rank2025,institution_clean
401-450,National University of Computer and Emerging Sciences. Islamabad,Pakistan,425.5,national university of computer and emerging sciences islamabad
401-450,Northwestern Polytechnical University,China (Mainland),425.5,northwestern polytechnical university
401-450,Peter the Great St. Petersburg Polytechnic University,Russian Federation,425.5,peter the great st petersburg polytechnic university
401-450,Sabanci University,Türkiye,425.5,sabanci university
401-450,Southern University of Science and Technology,China (Mainland),425.5,southern university of science and technology
401-450,Sultan Qaboos University,Oman,425.5,sultan qaboos university
401-450,Thapar Institute of Engineering & Technology,India,425.5,thapar institute of engineering technology
401-450,Tianjin University,China (Mainland),425.5,tianjin university
401-450,TU Dortmund University,Germany,425.5,tu dortmund university
401-450,Universidad de Sevilla,Spain,425.5,universidad de sevilla
401-450,Université du Québec,Canada,425.5,universit du qubec
401-450,University of Antwerp,Belgium,425.5,university of antwerp
401-450,University of Engineering & Technology (UET) Lahore,Pakistan,425.5,university of engineering technology uet lahore
401-450,University of Florence,Italy,425.5,university of florence
401-450,University of Galway,Ireland,425.5,university of galway
401-450,University of Gothenburg,Sweden,425.5,university of gothenburg
401-450,University of Houston,United States of America,425.5,university of houston
401-450,University of Kent,United Kingdom,425.5,university of kent
401-450,University of Luxembourg,Luxembourg,425.5,university of luxembourg
401-450,University of Oulu,Finland,425.5,university of oulu
401-450,University of Reading,United Kingdom,425.5,university of reading
401-450,University of Salamanca,Spain,425.5,university of salamanca
401-450,University of St Andrews,United Kingdom,425.5,university of st andrews
401-450,University of the Punjab,Pakistan,425.5,university of the punjab
401-450,University of Tsukuba,Japan,425.5,university of tsukuba
401-450,University of Turku,Finland,425.5,university of turku
401-450,Wageningen University & Research,Netherlands,425.5,wageningen university research
401-450,Yarmouk University,Jordan,425.5,yarmouk university
401-450,York University,Canada,425.5,york university
451-500,Alexandria University,Egypt,475.5,alexandria university
451-500,Amity University,India,475.5,amity university
451-500,Bangladesh University of Engineering and Technology,Bangladesh,475.5,bangladesh university of engineering and technology
451-500,Ben-Gurion University of The Negev,Israel,475.5,bengurion university of the negev
451-500,Dalhousie University,Canada,475.5,dalhousie university
451-500,Eötvös Loránd University,Hungary,475.5,etvs lornd university
451-500,Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,475.5,escuela superior politcnica del litoral espol
451-500,Gadjah Mada University,Indonesia,475.5,gadjah mada university
451-500,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,475.5,imam abdulrahman bin faisal university iau formerly university of dammam
451-500,Jadavpur University,India,475.5,jadavpur university
451-500,Japan Advanced Institute of Science and Technology,Japan,475.5,japan advanced institute of science and technology
451-500,Jouf University,Saudi Arabia,475.5,jouf university
451-500,Kazan (Volga region) Federal University,Russian Federation,475.5,kazan volga region federal university
451-500,Lahore University of Management Sciences (LUMS),Pakistan,475.5,lahore university of management sciences lums
451-500,Lebanese American University,Lebanon,475.5,lebanese american university
451-500,Multimedia University (MMU),Malaysia,475.5,multimedia university mmu
451-500,National Sun Yat-sen University,Taiwan,475.5,national sun yatsen university
451-500,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",Ukraine,475.5,national technical university of ukraine igor sikorsky kyiv polytechnic institute
451-500,Pontificia Universidad Católica del Perú,Peru,475.5,pontificia universidad catlica del per
451-500,Pontificia Universidad Javeriana,Colombia,475.5,pontificia universidad javeriana
451-500,Royal Holloway University of London,United Kingdom,475.5,royal holloway university of london
451-500,Shenzhen University,China (Mainland),475.5,shenzhen university
451-500,Symbiosis IRN (Deemed University),India,475.5,symbiosis irn deemed university
451-500,Taras Shevchenko National University of Kyiv,Ukraine,475.5,taras shevchenko national university of kyiv
451-500,Temple University,United States of America,475.5,temple university
451-500,The American University in Cairo,Egypt,475.5,the american university in cairo
451-500,The University of Exeter,United Kingdom,475.5,the university of exeter
451-500,Tilburg University,Netherlands,475.5,tilburg university
451-500,UCSI University,Malaysia,475.5,ucsi university
451-500,Umm Al-Qura University,Saudi Arabia,475.5,umm alqura university
451-500,Universidad de Guadalajara (UDG),Mexico,475.5,universidad de guadalajara udg
451-500,Universidad de Santiago de Chile (USACH),Chile,475.5,universidad de santiago de chile usach
451-500,Universität Mannheim,Germany,475.5,universitt mannheim
451-500,Université Claude Bernard Lyon 1,France,475.5,universit claude bernard lyon 1
451-500,Université de Lille,France,475.5,universit de lille
451-500,Université Laval,Canada,475.5,universit laval
451-500,University of Baghdad,Iraq,475.5,university of baghdad
451-500,University of Bordeaux,France,475.5,university of bordeaux
451-500,University of California. Riverside,United States of America,475.5,university of california riverside
451-500,University of Göttingen,Germany,475.5,university of gttingen
451-500,University of Milano-Bicocca,Italy,475.5,university of milanobicocca
451-500,University of Otago,New Zealand,475.5,university of otago
451-500,University of Patras,Greece,475.5,university of patras
451-500,University of Salerno,Italy,475.5,university of salerno
451-500,Viet Nam National University Ho Chi Minh City (VNU-HCM),Viet Nam,475.5,viet nam national university ho chi minh city vnuhcm
451-500,Wroclaw University of Science and Technology (WUST),Poland,475.5,wroclaw university of science and technology wust
451-500,Zhengzhou University,China (Mainland),475.5,zhengzhou university
501-550,AGH University of Science and Technology,Poland,525.5,agh university of science and technology
501-550,Ahlia University,Bahrain,525.5,ahlia university
501-550,Athens University of Economics and Business,Greece,525.5,athens university of economics and business
501-550,Babes-Bolyai University,Romania,525.5,babesbolyai university
501-550,Canadian University Dubai,United Arab Emirates,525.5,canadian university dubai
501-550,City University of New York,United States of America,525.5,city university of new york
501-550,Dalian University of Technology,China (Mainland),525.5,dalian university of technology
501-550,De Montfort University,United Kingdom,525.5,de montfort university
501-550,Florida International University,United States of America,525.5,florida international university
501-550,George Mason University,United States of America,525.5,george mason university
501-550,Georgetown University,United States of America,525.5,georgetown university
501-550,Hacettepe University,Türkiye,525.5,hacettepe university
501-550,Hokkaido University,Japan,525.5,hokkaido university
501-550,Indian Institute of Technology Indore (IIT Indore),India,525.5,indian institute of technology indore iit indore
501-550,Jawaharlal Nehru University,India,525.5,jawaharlal nehru university
501-550,Johannes Kepler University Linz,Austria,525.5,johannes kepler university linz
501-550,King Faisal University,Saudi Arabia,525.5,king faisal university
501-550,Kingston University. London,United Kingdom,525.5,kingston university london
501-550,Manchester Metropolitan University (MMU),United Kingdom,525.5,manchester metropolitan university mmu
501-550,Mansoura University,Egypt,525.5,mansoura university
501-550,Masaryk University,Czechia,525.5,masaryk university
501-550,National Research Tomsk Polytechnic University,Russian Federation,525.5,national research tomsk polytechnic university
501-550,Plekhanov Russian University of Economics,Russian Federation,525.5,plekhanov russian university of economics
501-550,Rensselaer Polytechnic Institute,United States of America,525.5,rensselaer polytechnic institute
501-550,Ritsumeikan University,Japan,525.5,ritsumeikan university
501-550,Rochester Institute of Technology (RIT),United States of America,525.5,rochester institute of technology rit
501-550,Sogang University,Republic of Korea,525.5,sogang university
501-550,Syracuse University,United States of America,525.5,syracuse university
501-550,Universitat de Valencia,Spain,525.5,universitat de valencia
501-550,Université Côte d'Azur,France,525.5,universit cte dazur
501-550,Université de Montpellier,France,525.5,universit de montpellier
501-550,Université de Strasbourg,France,525.5,universit de strasbourg
501-550,University of Bucharest,Romania,525.5,university of bucharest
501-550,University of Calabria,Italy,525.5,university of calabria
501-550,University of California. Santa Cruz,United States of America,525.5,university of california santa cruz
501-550,University of Genoa,Italy,525.5,university of genoa
501-550,University of Limerick,Ireland,525.5,university of limerick
501-550,University of Ljubljana,Slovenia,525.5,university of ljubljana
501-550,University of Macau,Macao SAR. China,525.5,university of macau
501-550,University of Manitoba,Canada,525.5,university of manitoba
501-550,University of South Carolina,United States of America,525.5,university of south carolina
501-550,University of South Florida,United States of America,525.5,university of south florida
501-550,University of Sussex,United Kingdom,525.5,university of sussex
501-550,University of the Philippines,Philippines,525.5,university of the philippines
501-550,University of the West of England,United Kingdom,525.5,university of the west of england
501-550,University of Waikato,New Zealand,525.5,university of waikato
501-550,Ural Federal University - UrFU,Russian Federation,525.5,ural federal university urfu
501-550,Western Sydney University,Australia,525.5,western sydney university
501-550,WU (Vienna University of Economics and Business),Austria,525.5,wu vienna university of economics and business
551-600,Amirkabir University of Technology,Iran (Islamic Republic of),575.5,amirkabir university of technology
551-600,Bandung Institute of Technology (ITB),Indonesia,575.5,bandung institute of technology itb
551-600,Ca' Foscari University of Venice,Italy,575.5,ca foscari university of venice
551-600,Central South University,China (Mainland),575.5,central south university
551-600,Coventry University,United Kingdom,575.5,coventry university
551-600,East China Normal University,China (Mainland),575.5,east china normal university
551-600,Ewha Womans University,Republic of Korea,575.5,ewha womans university
551-600,Hanoi University of Science and Technology,Viet Nam,575.5,hanoi university of science and technology
551-600,Indraprastha Institute of Information Technology (IIIT) Delhi,India,575.5,indraprastha institute of information technology iiit delhi
551-600,Institut Teknologi Sepuluh Nopember (ITS Surabaya),Indonesia,575.5,institut teknologi sepuluh nopember its surabaya
551-600,IRN Islamic University Malaysia (IIUM),Malaysia,575.5,irn islamic university malaysia iium
551-600,Lovely Professional University (LPU),India,575.5,lovely professional university lpu
551-600,Lulea University,Sweden,575.5,lulea university
551-600,Lviv Polytechnic National University,Ukraine,575.5,lviv polytechnic national university
551-600,Mahidol University,Thailand,575.5,mahidol university
551-600,Massey University,New Zealand,575.5,massey university
551-600,National Central University,Taiwan,575.5,national central university
551-600,Northumbria University at Newcastle,United Kingdom,575.5,northumbria university at newcastle
551-600,Pontificia Universidad Católica de Valparaíso,Chile,575.5,pontificia universidad catlica de valparaso
551-600,Prince Sultan University,Saudi Arabia,575.5,prince sultan university
551-600,Pusan National University,Republic of Korea,575.5,pusan national university
551-600,Technological University Dublin,Ireland,575.5,technological university dublin
551-600,Telkom University,Indonesia,575.5,telkom university
551-600,The Open University,United Kingdom,575.5,the open university
551-600,The University of Texas at Arlington,United States of America,575.5,the university of texas at arlington
551-600,Toronto Metropolitan University,Canada,575.5,toronto metropolitan university
551-600,Universidad Panamericana (UP),Mexico,575.5,universidad panamericana up
551-600,Universidade Federal do Paraná - UFPR,Brazil,575.5,universidade federal do paran ufpr
551-600,Universität Bremen,Germany,575.5,universitt bremen
551-600,Universität Innsbruck,Austria,575.5,universitt innsbruck
551-600,Université de Technologie. Compiègne (UTC),France,575.5,universit de technologie compigne utc
551-600,Université Toulouse 1 Capitole,France,575.5,universit toulouse 1 capitole
551-600,Universiti Teknologi MARA - UiTM,Malaysia,575.5,universiti teknologi mara uitm
551-600,Universiti Utara Malaysia (UUM),Malaysia,575.5,universiti utara malaysia uum
551-600,University of Basel,Switzerland,575.5,university of basel
551-600,University of Cologne,Germany,575.5,university of cologne
551-600,University of Crete,Greece,575.5,university of crete
551-600,University of Dhaka,Bangladesh,575.5,university of dhaka
551-600,University of Jyväskylä,Finland,575.5,university of jyvskyl
551-600,University of Kentucky,United States of America,575.5,university of kentucky
551-600,University of Lausanne,Switzerland,575.5,university of lausanne
551-600,University of Missouri. Columbia,United States of America,575.5,university of missouri columbia
551-600,University of Navarra,Spain,575.5,university of navarra
551-600,University of Petroleum and Energy Studies (UPES),India,575.5,university of petroleum and energy studies upes
551-600,University of the Basque Country,Spain,575.5,university of the basque country
551-600,University POLITEHNICA of Bucharest,Romania,575.5,university politehnica of bucharest
551-600,Vietnam National University. Hanoi,Viet Nam,575.5,vietnam national university hanoi
551-600,Westfälische Wilhelms-Universität Münster,Germany,575.5,westflische wilhelmsuniversitt mnster
551-600,Yildiz Technical University,Türkiye,575.5,yildiz technical university
601-650,Abu Dhabi University,United Arab Emirates,625.5,abu dhabi university
601-650,Al-Balqa Applied University,Jordan,625.5,albalqa applied university
601-650,Al-Farabi Kazakh National University,Kazakhstan,625.5,alfarabi kazakh national university
601-650,Amrita Vishwa Vidyapeetham,India,625.5,amrita vishwa vidyapeetham
601-650,Applied Science University - Bahrain,Bahrain,625.5,applied science university bahrain
601-650,Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,625.5,asia pacific university of technology and innovation apu malaysia
601-650,Binghamton University SUNY,United States of America,625.5,binghamton university suny
601-650,Catania University,Italy,625.5,catania university
601-650,De La Salle University,Philippines,625.5,de la salle university
601-650,Gdańsk University of Technology,Poland,625.5,gdask university of technology
601-650,Helwan University,Egypt,625.5,helwan university
601-650,IRN Institute of Information Technology - Hyderabad (IIIT-H),India,625.5,irn institute of information technology hyderabad iiith
601-650,Iran University of Science and Technology,Iran (Islamic Republic of),625.5,iran university of science and technology
601-650,Kharkiv National University of Radio Electronics,Ukraine,625.5,kharkiv national university of radio electronics
601-650,Manipal Academy of Higher Education - Manipal University (MAHE),India,625.5,manipal academy of higher education manipal university mahe
601-650,Middlesex University,United Kingdom,625.5,middlesex university
601-650,Nanjing University of Aeronautics and Astronautics,China (Mainland),625.5,nanjing university of aeronautics and astronautics
601-650,Nanjing University of Science and Technology,China (Mainland),625.5,nanjing university of science and technology
601-650,Nara Institute of Science and Technology,Japan,625.5,nara institute of science and technology
601-650,National Taiwan Normal University,Taiwan,625.5,national taiwan normal university
601-650,Princess Nourah bint Abdulrahman University,Saudi Arabia,625.5,princess nourah bint abdulrahman university
601-650,Ruhr-Universität Bochum,Germany,625.5,ruhruniversitt bochum
601-650,Saudi Electronic University,Saudi Arabia,625.5,saudi electronic university
601-650,Technical University of Cluj-Napoca,Romania,625.5,technical university of clujnapoca
601-650,Texas Tech University,United States of America,625.5,texas tech university
601-650,The University of Georgia,United States of America,625.5,the university of georgia
601-650,Ton Duc Thang University,Viet Nam,625.5,ton duc thang university
601-650,Universidade de Brasília,Brazil,625.5,universidade de braslia
601-650,Universidade Federal de Pernambuco (UFPE),Brazil,625.5,universidade federal de pernambuco ufpe
601-650,Universidade Federal de Santa Catarina,Brazil,625.5,universidade federal de santa catarina
601-650,Universidade Federal de São Carlos (UFSCar),Brazil,625.5,universidade federal de so carlos ufscar
601-650,Université de Liège,Belgium,625.5,universit de lige
601-650,Université de Lorraine,France,625.5,universit de lorraine
601-650,Université de Tunis El Manar,Tunisia,625.5,universit de tunis el manar
601-650,Universiti Malaysia Pahang Al - Sultan Abdullah (UMPSA),Malaysia,625.5,universiti malaysia pahang al sultan abdullah umpsa
601-650,University of Aveiro,Portugal,625.5,university of aveiro
601-650,University of Belgrade,Serbia,625.5,university of belgrade
601-650,University of Bradford,United Kingdom,625.5,university of bradford
601-650,University of Cincinnati,United States of America,625.5,university of cincinnati
601-650,University of Cyprus (UCY),Cyprus,625.5,university of cyprus ucy
601-650,University of Eastern Finland,Finland,625.5,university of eastern finland
601-650,University of Kaiserslautern-Landau (RPTU),Germany,625.5,university of kaiserslauternlandau rptu
601-650,University of Maryland. Baltimore County,United States of America,625.5,university of maryland baltimore county
601-650,University of Mons,Belgium,625.5,university of mons
601-650,University of Portsmouth,United Kingdom,625.5,university of portsmouth
601-650,University of Saskatchewan,Canada,625.5,university of saskatchewan
601-650,University of Southern Denmark (SDU),Denmark,625.5,university of southern denmark sdu
601-650,University of Szeged,Hungary,625.5,university of szeged
601-650,Victoria University,Australia,625.5,victoria university
601-650,Weizmann Institute of Science,Israel,625.5,weizmann institute of science
651-700,Al-Ahliyya Amman University,Jordan,675.5,alahliyya amman university
651-700,Arab Academy for Science. Technology and Maritime Transport,Egypt,675.5,arab academy for science technology and maritime transport
651-700,Asia University Taiwan,Taiwan,675.5,asia university taiwan
651-700,Birzeit university,Palestine,675.5,birzeit university
651-700,Chitkara University,India,675.5,chitkara university
651-700,College of William and Mary,United States of America,675.5,college of william and mary
651-700,Daffodil IRN University,Bangladesh,675.5,daffodil irn university
651-700,Drexel University,United States of America,675.5,drexel university
651-700,École Centrale de Lille,France,675.5,cole centrale de lille
651-700,Edinburgh Napier University,United Kingdom,675.5,edinburgh napier university
651-700,EURECOM,France,675.5,eurecom
651-700,Gazi Üniversitesi,Türkiye,675.5,gazi niversitesi
651-700,Guru Gobind Singh Indraprastha University,India,675.5,guru gobind singh indraprastha university
651-700,Harbin Engineering University,China (Mainland),675.5,harbin engineering university
651-700,Istanbul University,Türkiye,675.5,istanbul university
651-700,Kaunas University of Technology,Lithuania,675.5,kaunas university of technology
651-700,Liverpool John Moores University,United Kingdom,675.5,liverpool john moores university
651-700,Nantes University,France,675.5,nantes university
651-700,National Chung Hsing University,Taiwan,675.5,national chung hsing university
651-700,National University of Defense Technology,China (Mainland),675.5,national university of defense technology
651-700,Northeastern University (China),China (Mainland),675.5,northeastern university china
651-700,Poznań University of Technology,Poland,675.5,pozna university of technology
651-700,Qassim University,Saudi Arabia,675.5,qassim university
651-700,Riga Technical University,Latvia,675.5,riga technical university
651-700,Skolkovo Institute of Science and Technology,Russian Federation,675.5,skolkovo institute of science and technology
651-700,Technische Universität Braunschweig,Germany,675.5,technische universitt braunschweig
651-700,The University of Lahore,Pakistan,675.5,the university of lahore
651-700,The University of Tennessee. Knoxville,United States of America,675.5,the university of tennessee knoxville
651-700,Tomsk State University,Russian Federation,675.5,tomsk state university
651-700,Tufts University,United States of America,675.5,tufts university
651-700,Ulster University,United Kingdom,675.5,ulster university
651-700,Universidad Adolfo Ibáñez,Chile,675.5,universidad adolfo ibez
651-700,Universidad Autónoma de Nuevo León,Mexico,675.5,universidad autnoma de nuevo len
651-700,Universidad de Antioquia,Colombia,675.5,universidad de antioquia
651-700,Universidad de Zaragoza,Spain,675.5,universidad de zaragoza
651-700,Universidad Nacional de La Plata (UNLP),Argentina,675.5,universidad nacional de la plata unlp
651-700,Università degli Studi di Pavia,Italy,675.5,universit degli studi di pavia
651-700,Universität Leipzig,Germany,675.5,universitt leipzig
651-700,Universitat Ramon Llull,Spain,675.5,universitat ramon llull
651-700,Université Lumière Lyon 2,France,675.5,universit lumire lyon 2
651-700,Universiti Teknikal Malaysia Melaka,Malaysia,675.5,universiti teknikal malaysia melaka
651-700,Universiti Tenaga Nasional (UNITEN),Malaysia,675.5,universiti tenaga nasional uniten
651-700,University of Aberdeen,United Kingdom,675.5,university of aberdeen
651-700,University of Guelph,Canada,675.5,university of guelph
651-700,University of Huddersfield,United Kingdom,675.5,university of huddersfield
651-700,University of Johannesburg,South Africa,675.5,university of johannesburg
651-700,University of Minho,Portugal,675.5,university of minho
651-700,University of New Brunswick,Canada,675.5,university of new brunswick
651-700,University of Oregon,United States of America,675.5,university of oregon
651-700,Vilnius University,Lithuania,675.5,vilnius university
651-700,Wuhan University of Technology,China (Mainland),675.5,wuhan university of technology
651-700,Zagazig University,Egypt,675.5,zagazig university
701-750,Academy of Sciences of the Czech Republic,Czechia,725.5,academy of sciences of the czech republic
701-750,Airlangga University,Indonesia,725.5,airlangga university
701-750,Banaras Hindu University,India,725.5,banaras hindu university
701-750,Bar-Ilan University,Israel,725.5,barilan university
701-750,Chiang Mai University,Thailand,725.5,chiang mai university
701-750,Colorado State University,United States of America,725.5,colorado state university
701-750,Cracow University of Technology (Politechnika Krakowska),Poland,725.5,cracow university of technology politechnika krakowska
701-750,École Nationale Supérieure des Mines de Saint-Etienne (EMSE) (Mines Saint-Étienne),France,725.5,cole nationale suprieure des mines de saintetienne emse mines sainttienne
701-750,Hasselt University,Belgium,725.5,hasselt university
701-750,Indian Institute of Technology Hyderabad (IITH),India,725.5,indian institute of technology hyderabad iith
701-750,Instituto Tecnológico Autónomo de México (ITAM),Mexico,725.5,instituto tecnolgico autnomo de mxico itam
701-750,IRN Islamic University Islamabad (IIU),Pakistan,725.5,irn islamic university islamabad iiu
701-750,Jeonbuk National University,Republic of Korea,725.5,jeonbuk national university
701-750,Louisiana State University,United States of America,725.5,louisiana state university
701-750,Management and Science University,Malaysia,725.5,management and science university
701-750,National Institute of Technology Rourkela,India,725.5,national institute of technology rourkela
701-750,New Jersey Institute of Technology (NJIT),United States of America,725.5,new jersey institute of technology njit
701-750,Nottingham Trent University,United Kingdom,725.5,nottingham trent university
701-750,Panjab University,India,725.5,panjab university
701-750,SASTRA Deemed University,India,725.5,sastra deemed university
701-750,Satbayev University,Kazakhstan,725.5,satbayev university
701-750,Seoul National University of Science and Technology,Republic of Korea,725.5,seoul national university of science and technology
701-750,Stellenbosch University,South Africa,725.5,stellenbosch university
701-750,Technical University of Crete,Greece,725.5,technical university of crete
701-750,The Hashemite University,Jordan,725.5,the hashemite university
701-750,The University of Alabama,United States of America,725.5,the university of alabama
701-750,Umea University,Sweden,725.5,umea university
701-750,Universidad de Concepción,Chile,725.5,universidad de concepcin
701-750,Universidad Rey Juan Carlos,Spain,725.5,universidad rey juan carlos
701-750,Universidade de Santiago de Compostela,Spain,725.5,universidade de santiago de compostela
701-750,Università degli studi Roma Tre,Italy,725.5,universit degli studi roma tre
701-750,Universität Konstanz,Germany,725.5,universitt konstanz
701-750,Université Paris-Est Créteil,France,725.5,universit parisest crteil
701-750,University of Bari,Italy,725.5,university of bari
701-750,University of Calcutta,India,725.5,university of calcutta
701-750,University of Connecticut,United States of America,725.5,university of connecticut
701-750,University of Debrecen,Hungary,725.5,university of debrecen
701-750,University of Delaware,United States of America,725.5,university of delaware
701-750,University of Haifa,Israel,725.5,university of haifa
701-750,University of Hawaiʻi at Mānoa,United States of America,725.5,university of hawaii at mnoa
701-750,University of Miami,United States of America,725.5,university of miami
701-750,University of Modena and Reggio Emilia,Italy,725.5,university of modena and reggio emilia
701-750,University of North Carolina at Charlotte,United States of America,725.5,university of north carolina at charlotte
701-750,University of Oklahoma,United States of America,725.5,university of oklahoma
701-750,University of Pretoria,South Africa,725.5,university of pretoria
701-750,University of Zagreb,Croatia,725.5,university of zagreb
701-750,University Ulm,Germany,725.5,university ulm
701-750,V. N. Karazin Kharkiv National University,Ukraine,725.5,v n karazin kharkiv national university
701-750,Vilnius Gediminas Technical University,Lithuania,725.5,vilnius gediminas technical university
701-750,Yuan Ze University,Taiwan,725.5,yuan ze university
701-750,Zhongnan University of Economics and Law,China (Mainland),725.5,zhongnan university of economics and law
751-850,Al-Azhar University,Egypt,800.5,alazhar university
751-850,Asian Institute of Technology. Thailand,Thailand,800.5,asian institute of technology thailand
751-850,Ateneo de Manila University,Philippines,800.5,ateneo de manila university
751-850,Bahria University,Pakistan,800.5,bahria university
751-850,Belarusian State University,Belarus,800.5,belarusian state university
751-850,Brigham Young University,United States of America,800.5,brigham young university
751-850,China Agricultural University,China (Mainland),800.5,china agricultural university
751-850,Christian-Albrechts-University zu Kiel,Germany,800.5,christianalbrechtsuniversity zu kiel
751-850,Chungnam National University,Republic of Korea,800.5,chungnam national university
751-850,Dongguk University,Republic of Korea,800.5,dongguk university
751-850,East China University of Science and Technology,China (Mainland),800.5,east china university of science and technology
751-850,Escuela Politécnica Nacional,Ecuador,800.5,escuela politcnica nacional
751-850,Feng Chia University,Taiwan,800.5,feng chia university
751-850,Florida Atlantic University - Boca Raton,United States of America,800.5,florida atlantic university boca raton
751-850,Free University of Bozen-Bolzano,Italy,800.5,free university of bozenbolzano
751-850,Fuzhou University,China (Mainland),800.5,fuzhou university
751-850,German Jordanian University,Jordan,800.5,german jordanian university
751-850,German University in Cairo,Egypt,800.5,german university in cairo
751-850,GIK Institute of Engineering Sciences and Technology,Pakistan,800.5,gik institute of engineering sciences and technology
751-850,Guangdong University of Technology,China (Mainland),800.5,guangdong university of technology
751-850,HeFei University of Technology,China (Mainland),800.5,hefei university of technology
751-850,Indian Institute of Information Technology. Allahabad,India,800.5,indian institute of information technology allahabad
751-850,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,800.5,indian institute of technology bhu varanasi iit bhu varanasi
751-850,Islamic Azad University,Iran (Islamic Republic of),800.5,islamic azad university
751-850,Jamia Millia Islamia,India,800.5,jamia millia islamia
751-850,Jiangnan University,China (Mainland),800.5,jiangnan university
751-850,Kalinga Institute of Industrial Technology (KIIT),India,800.5,kalinga institute of industrial technology kiit
751-850,King Mongkut's University of Technology Thonburi,Thailand,800.5,king mongkuts university of technology thonburi
751-850,Kuwait University,Kuwait,800.5,kuwait university
751-850,Kyushu Institute of Technology,Japan,800.5,kyushu institute of technology
751-850,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,800.5,ln gumilyov eurasian national university enu
751-850,Lanzhou University,China (Mainland),800.5,lanzhou university
751-850,Lappeenranta-Lahti University of Technology LUT,Finland,800.5,lappeenrantalahti university of technology lut
751-850,Lehigh University,United States of America,800.5,lehigh university
751-850,Macau University of Science and Technology,Macao SAR. China,800.5,macau university of science and technology
751-850,Missouri University of Science and Technology,United States of America,800.5,missouri university of science and technology
751-850,National Chengchi University,Taiwan,800.5,national chengchi university
751-850,National Chung Cheng University,Taiwan,800.5,national chung cheng university
751-850,National Institute of Technology Tiruchirappalli,India,800.5,national institute of technology tiruchirappalli
751-850,North South University,Bangladesh,800.5,north south university
751-850,Northern Borders University,Saudi Arabia,800.5,northern borders university
751-850,Óbuda University,Hungary,800.5,buda university
751-850,Oregon State University,United States of America,800.5,oregon state university
751-850,Ozyegin University,Türkiye,800.5,ozyegin university
751-850,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,800.5,pakistan institute of engineering and applied sciences pieas
751-850,Politecnico di Bari,Italy,800.5,politecnico di bari
751-850,Savitribai Phule Pune University,India,800.5,savitribai phule pune university
751-850,Shahid Beheshti University (SBU),Iran (Islamic Republic of),800.5,shahid beheshti university sbu
751-850,Siksha 'O' Anusandhan (Deemed to be University),India,800.5,siksha o anusandhan deemed to be university
751-850,Slovak University of Technology in Bratislava,Slovakia,800.5,slovak university of technology in bratislava
751-850,"Sofia University ""St. Kliment Ohridski""",Bulgaria,800.5,sofia university st kliment ohridski
751-850,Southwest Jiaotong University,China (Mainland),800.5,southwest jiaotong university
751-850,Southwestern University of Finance and Economics,China (Mainland),800.5,southwestern university of finance and economics
751-850,Stevens Institute of Technology,United States of America,800.5,stevens institute of technology
751-850,Sunway University,Malaysia,800.5,sunway university
751-850,Technical University - Sofia,Bulgaria,800.5,technical university sofia
751-850,Technische Universität Hamburg-Harburg,Germany,800.5,technische universitt hamburgharburg
751-850,Thammasat University,Thailand,800.5,thammasat university
751-850,Universidad Andrés Bello,Chile,800.5,universidad andrs bello
751-850,Universidad de Alcalá,Spain,800.5,universidad de alcal
751-850,Universidad de Castilla-La Mancha,Spain,800.5,universidad de castillala mancha
751-850,Universidad de Córdoba - España,Spain,800.5,universidad de crdoba espaa
751-850,Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército),Ecuador,800.5,universidad de las fuerzas armadas espe ex escuela politcnica del ejrcito
751-850,Universidad del Cauca,Colombia,800.5,universidad del cauca
751-850,Universidad Nacional de Córdoba - UNC,Argentina,800.5,universidad nacional de crdoba unc
751-850,Universidade Federal do Ceará (UFC),Brazil,800.5,universidade federal do cear ufc
751-850,Universität Duisburg-Essen,Germany,800.5,universitt duisburgessen
751-850,Universität Potsdam,Germany,800.5,universitt potsdam
751-850,Université de Sherbrooke,Canada,800.5,universit de sherbrooke
751-850,Université Polytechnique Hauts-de-France,France,800.5,universit polytechnique hautsdefrance
751-850,Université Sorbonne Paris Nord,France,800.5,universit sorbonne paris nord
751-850,Universiti Tun Hussein Onn University of Malaysia (UTHM),Malaysia,800.5,universiti tun hussein onn university of malaysia uthm
751-850,Universiti Tunku Abdul Rahman (UTAR),Malaysia,800.5,universiti tunku abdul rahman utar
751-850,University of Basrah,Iraq,800.5,university of basrah
751-850,University of Canberra,Australia,800.5,university of canberra
751-850,University of East Anglia (UEA),United Kingdom,800.5,university of east anglia uea
751-850,University of Iowa,United States of America,800.5,university of iowa
751-850,University of Klagenfurt,Austria,800.5,university of klagenfurt
751-850,University of Kufa,Iraq,800.5,university of kufa
751-850,University of Lincoln,United Kingdom,800.5,university of lincoln
751-850,University of Massachusetts Boston,United States of America,800.5,university of massachusetts boston
751-850,University of Murcia,Spain,800.5,university of murcia
