university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
Arizona State University,Computer Science Masters,Accepted,F15,International,,,,,
University of Alberta,Computer Science Masters,Accepted,F19,International,3.91,166.0,,151.0,5.0
Boston University,Computer Science Masters,Accepted,F15,International,,163.0,,164.0,4.0
University of Wisconsin,Computer Science (PMP) Masters,Accepted,F18,International,,,,,
Amherst College,Computer Science Masters,Accepted,F19,International,,,,,
University of Edinburgh,Computer Science Masters,Accepted,F19,International,3.51,,,,
University of Waterloo,Computer Science-MMath Masters,Accepted,F15,,,167.0,,163.0,4.0
University of Sheffield,Computer Science With Speech And Language Processing Masters,Accepted,F19,International,,,,,
McGill University,Computer Science Masters,Accepted,F17,,,,,,
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F17,American,3.87,159.0,,170.0,4.5
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
The University of British Columbia,Computer Science Masters,Accepted,F20,International,,,,,
"Technical University Munic, TUM",Computer Science Masters,Accepted,F17,International,,,,,
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F16,American,3.30,169.0,,165.0,4.5
University of Pennsylvania,Computer Science Masters,Accepted,F17,American,,,,,
IIT,Computer Science Masters,Accepted,F16,International,,,,,
The University of British Columbia,Computer Science Masters,Accepted,F17,International,,,,,
McGill University,Computer Science (Thesis) Masters,Accepted,F17,International,,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F19,American,3.42,,,,
University of Southern California,Computer Science Masters,Accepted,F19,International,,,,,
Carnegie Mellon University,Computer Science Robotics Institute Masters,Accepted,F16,International,,,,,
Illinois State University,Computer Science Masters,Accepted,F19,International,,,,,
Stanford University,Computer Science Masters,Accepted,F15,International,3.80,176.0,,156.0,4.0
Carnegie Mellon University,Computer Science Information Security Masters,Accepted,F16,International,,,,,
Columbia University,Computer Science Software Systems Masters,Accepted,F16,International,3.90,165.0,,161.0,3.5
University of Illinois Urbana-Champaign,"Computer Science (Professional Master, MCS) Masters",Accepted,F18,International,3.85,169.0,,158.0,4.0
Johns Hopkins University,Computer Science Masters,Accepted,F15,International,,,,,
San Jose State University (SJSU),Computer Science Masters,Accepted,F19,American,3.75,162.0,,168.0,4.5
University of California-Riverside,Computer Science Masters,Accepted,F17,International,,,,,
"University of California, Irvine",Computer Science Masters,Accepted,F16,International,,,,,
University of Southern California,Computer Science Masters,Accepted,F16,International,3.85,164.0,,163.0,4.5
Carnegie Mellon University,Computer Science Master In ML Masters,Accepted,F16,International,,,,,
Simon Fraser University,Computer Science Masters,Accepted,F18,International,3.60,168.0,,153.0,3.5
Park University,Computer Science Masters,Accepted,F15,International,3.75,167.0,,152.0,3.0
Northeastern University,Computer Science Masters,Accepted,F19,International,,169.0,,160.0,4.5
Cornell University,Computer Science Masters,Accepted,F15,American,,,,,
University of Southern California,Computer Science Masters,Accepted,F20,International,,,,,
Clemson University,Computer Science Masters,Accepted,F15,International,3.50,170.0,,153.0,3.0
Cornell University,Computer Science - MSc Masters,Accepted,F18,American,,,,,
University of San Diego,Computer Science Masters,Accepted,F20,International,3.95,167.0,,164.0,4.5
University of Massachusetts Amherst,Computer Science Masters,Accepted,F16,,,,,,
University of Wisconsin,Computer Science Masters,Accepted,F15,International,3.60,160.0,,162.0,4.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,International,3.20,170.0,,161.0,4.0
"University of California, Irvine",Computer Science Masters,Accepted,F19,International,,,,,
University of Southern California,Computer Science Masters,Accepted,F15,International,3.70,168.0,,151.0,3.5
University of Waterloo,Computer Science Masters,Accepted,F17,International,8.90,167.0,,155.0,4.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,International,3.87,160.0,,164.0,4.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.60,167.0,,168.0,5.0
University of Wisconsin,Computer Science (PMP) Masters,Accepted,F18,International,,,,,
Stony Brook University,Computer Science Masters,Accepted,F19,International,3.80,164.0,,154.0,3.5
Columbia College,Computer Science Masters,Accepted,F16,American,,,,,
University of Southern California,Computer Science Masters,Accepted,Spring 2019,,,,,,
Concordia College,Computer Science Masters,Accepted,F19,International,3.90,170.0,,155.0,4.0
Carnegie Mellon University,"Computer Science,LTI,MLT Masters",Accepted,F16,International,,166.0,,161.0,5.0
Columbia College,Computer Science Masters,Accepted,Spring 2019,International,4.00,159.0,,155.0,4.5
DePaul University,Computer Science Masters,Accepted,F16,International,3.70,165.0,,160.0,4.5
University of Waterloo,Computer Science Masters,Accepted,F16,International,,,,,
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F18,International,4.00,168.0,,158.0,3.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
Utah State University,"Computer Science, Masters (F15) Masters",Accepted,F15,International,3.39,170.0,,160.0,4.5
University of Southern California,Computer Science Masters,Accepted,F19,International,3.80,164.0,,155.0,4.0
New York University,Computer Science Masters,Accepted,F19,International,3.63,161.0,,162.0,4.0
University of Southern California,Computer Science Masters,Accepted,F20,International,,,,,
University of Southern California,Computer Science Masters,Accepted,F19,International,3.54,168.0,,160.0,4.5
New York University,Computer Science Masters,Accepted,F18,American,3.40,163.0,,163.0,4.0
University of California (UCSC),Computer Science Masters,Accepted,F19,International,,,,,
Columbia College,Computer Science Masters,Accepted,F16,American,,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F19,International,,,,,
IIT Chicago,Computer Science Masters,Accepted,F18,International,3.30,170.0,,149.0,4.0
Arizona State University,Computer Science Masters,Accepted,Spring 2020,American,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F15,American,,,,,
"University at Buffalo, State University of New York",Computer Science Masters,Accepted,F20,International,,,,,
North Carolina State University,Computer Science Masters,Accepted,F17,International,,,,,
University of Toronto,Computer Science Masters,Accepted,F20,International,3.90,,,,
University of Southern California,Computer Science Masters,Accepted,F20,International,3.81,169.0,,156.0,4.0
University of California,Computer Science Masters,Accepted,F15,American,3.80,170.0,,153.0,3.5
University of Calgary,Computer Science MSc Masters,Accepted,F17,International,3.66,,,,
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.70,168.0,,156.0,4.0
University of Southern California,Computer Science Masters,Accepted,F19,,,,,,
University of Illinois Urbana-Champaign,Computer Science (M.S.) Masters,Accepted,F15,International,3.50,170.0,,160.0,
University of Dallas,Computer Science Masters,Accepted,F15,International,3.45,168.0,,153.0,3.0
Stony Brook University,Computer Science Masters,Accepted,F15,International,,,,,
Delft University of Technology,Computer Science Masters,Accepted,F16,International,,,,,
Johns Hopkins University,Computer Science Masters,Accepted,F19,International,3.66,168.0,,167.0,5.0
Illinois Institute of Technology,Computer Science-Computer Graphics Masters,Accepted,F16,International,3.62,157.0,,154.0,3.0
University of Edinburgh,Computer Science Masters,Accepted,F19,International,3.50,,,,
