university,program,decision,term,citizenship,gpa_raw,gre_total,institution_clean
Carnegie Mellon University,Computer Science (LTI) Masters,Accepted,F15,International,3.5,170.0,carnegie mellon university
North Carolina State University,Computer Science Masters,Accepted,F18,International,3.4,167.0,north carolina state university
University of Chicago,Computer Science Masters,Accepted,F19,American,3.48,165.0,university of chicago
University of Texas at Austin,Computer Science Masters,Accepted,F16,International,3.99,170.0,university of texas at austin
Albany State University,Computer Science Masters,Accepted,F15,International,3.0,157.0,albany state university
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.73,168.0,georgia institute of technology
NC State University,Computer Science Masters,Accepted,F15,International,3.55,170.0,nc state university
University Of Illinois Urbana Champagne (UIUC),Computer Science Masters,Accepted,F17,International,3.83,165.0,university of illinois urbana champagne uiuc
San Diego State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,san diego state university
Northwestern University,Computer Science Masters,Accepted,F16,International,3.9,170.0,northwestern university
University of Toronto,Computer Science Masters,Accepted,F15,International,3.78,162.0,university of toronto
Carnegie Mellon University,"Computer Science, Language Technologies Institute (LTI) Masters",Accepted,F16,International,3.78,164.0,carnegie mellon university
Duke University,Computer Science Masters,Accepted,F17,International,3.3,168.0,duke university
Brown University,Computer Science Masters,Accepted,F15,American,3.52,153.0,brown university
University of Texas at Austin,Computer Science Masters,Accepted,F15,American,3.93,165.0,university of texas at austin
University of Massachusetts Dartmouth,Computer Science Masters,Accepted,F15,International,3.4,144.0,university of massachusetts dartmouth
Columbia College,Computer Science Masters,Accepted,F19,American,3.99,170.0,columbia college
University of Southern California,Computer Science Masters,Accepted,F18,International,3.32,170.0,university of southern california
University of Florida,Computer Science Masters,Accepted,F15,International,3.15,165.0,university of florida
Technische Universität München (TUM),Computer Science Masters,Accepted,F16,International,4.0,167.0,technische universitt mnchen tum
Cornell University,Computer Science Masters,Accepted,F19,International,3.84,170.0,cornell university
Columbia University,Computer Science - Machine Learning Masters,Accepted,S18,American,3.38,168.0,columbia university
SFU,Computer Science In Big Data Masters,Accepted,F15,International,3.78,170.0,sfu
University of California,Computer Science Masters,Accepted,F20,International,3.7,162.0,university of california
Buffalo State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,buffalo state university
Concordia University,Computer Science Masters,Accepted,F15,International,3.68,170.0,concordia university
New York University,Computer Science Masters,Accepted,F18,International,3.8,170.0,new york university
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.6,170.0,university of massachusetts amherst
University of Texas,Computer Science Masters,Accepted,F15,International,3.7,164.0,university of texas
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.6,170.0,georgia institute of technology
McGill University,Computer Science Masters,Accepted,F15,International,3.84,168.0,mcgill university
JHU,Computer Science Masters,Accepted,F15,International,3.47,170.0,jhu
ETH Zurich,Computer Science Masters,Accepted,F15,International,3.7,161.0,eth zurich
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,4.0,170.0,carnegie mellon university
Carnegie Mellon University,Computer Science Masters,Accepted,F16,International,3.6,168.0,carnegie mellon university
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.4,165.0,north carolina state university
University of Chicago,Computer Science Masters,Accepted,S18,International,3.0,163.0,university of chicago
USC,Computer Science Masters,Accepted,F15,International,3.6,167.0,usc
University of Michigan,Computer Science Masters,Accepted,F16,International,3.5,170.0,university of michigan
Park University,Computer Science Masters,Accepted,F15,International,3.94,168.0,park university
Stevens Institute of Technology,Computer Science Masters,Accepted,F19,International,3.3,161.0,stevens institute of technology
Columbia FFSEAS,Computer Science Masters,Accepted,F18,American,3.6,169.0,columbia ffseas
Austin College,Computer Science Masters,Accepted,F15,International,3.8,159.0,austin college
University of California,Computer Science Masters,Accepted,F16,International,4.0,167.0,university of california
Carnegie Mellon University,Computer Science - Robotics Masters,Accepted,F18,International,3.98,170.0,carnegie mellon university
Utah State University,Computer Science Masters,Accepted,F15,International,3.23,168.0,utah state university
TAMU,Computer Science Masters,Accepted,F17,International,3.76,155.0,tamu
University of California,Computer Science Masters,Accepted,F19,International,3.87,167.0,university of california
Arizona State University,Computer Science Masters,Accepted,F19,International,3.4,166.0,arizona state university
Brown University,Computer Science Masters,Accepted,F19,International,3.98,165.0,brown university
University of Maryland,Computer Science Masters,Accepted,F16,International,3.82,159.0,university of maryland
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,International,3.4,169.0,university of massachusetts amherst
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science- Intelligent Robotics Masters,Accepted,F17,International,3.64,163.0,university of southern california usc viterbi school of engineering
Stanford University,Computer Science Masters,Accepted,F19,American,3.94,169.0,stanford university
Stony Brook University,Computer Science Masters,Accepted,F19,International,3.33,166.0,stony brook university
University of California,Computer Science Masters,Accepted,F18,International,3.77,169.0,university of california
University of California (UCLA),Computer Science Masters,Accepted,F19,American,3.62,165.0,university of california ucla
University of Arizona,Computer Science Masters,Accepted,F16,International,3.5,170.0,university of arizona
University of Wisconsin,Computer Science Masters,Accepted,F16,International,3.79,163.0,university of wisconsin
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F19,International,3.52,167.0,technical university of munich tum
Cornell University,Computer Science Masters,Accepted,F15,American,3.81,157.0,cornell university
Georgia Institute of Technology,Computer Science Masters,Accepted,F20,International,3.9,170.0,georgia institute of technology
University of California,Computer Science and Engineering Masters,Accepted,F15,American,3.52,169.0,university of california
Delft University of Technology,Computer Science- Data Science & Technology Track Masters,Accepted,F20,International,3.43,165.0,delft university of technology
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,American,3.77,161.0,university of massachusetts amherst
Buffalo State University,Computer Science Engineering Masters,Accepted,F17,International,3.83,169.0,buffalo state university
University of Virginia,Computer Science Masters,Accepted,F15,International,3.75,170.0,university of virginia
Columbia College,Computer Science Masters,Accepted,F15,International,3.7,170.0,columbia college
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.44,165.0,north carolina state university
University of Florida,Computer Science Masters,Accepted,F15,International,3.45,168.0,university of florida
University of Wisconsin,Computer Science Masters,Accepted,F19,International,3.58,170.0,university of wisconsin
Carnegie Mellon University,"Computer Science,LTI,MLT, Masters (F16) Masters",Accepted,F16,International,3.78,167.0,carnegie mellon university
University of Southern California,Computer Science Masters,Accepted,Spring 2020,American,3.63,167.0,university of southern california
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F17,American,3.65,162.0,university of illinois urbanachampaign
"University of California, Irvine",Computer Science Masters,Accepted,F17,International,3.7,170.0,university of california irvine
Amherst College,Computer Science Masters,Accepted,F15,American,3.3,162.0,amherst college
"University of California, Irvine",Computer Science Masters,Accepted,F19,American,3.75,163.0,university of california irvine
New York University,Computer Science Masters,Accepted,F17,International,3.35,168.0,new york university
"University of California, Los Angeles",Computer Science Masters,Accepted,F17,American,3.65,162.0,university of california los angeles
University of California,Computer Science Masters,Accepted,F18,International,3.8,168.0,university of california
