university,program,decision,term,citizenship,gpa_raw,gre_total,institution_clean
University Of Alberta,Computer Science Masters,Accepted,Fall 2024,International,3.79,170.0,university of alberta
University of Texas,Computer Science Masters,Accepted,Fall 2024,International,3.7,159.0,university of texas
University of Texas,Computer Science Masters,Accepted,Fall 2024,International,3.7,159.0,university of texas
North Carolina State University,Computer Science Masters,Accepted,Fall 2024,International,4.0,169.0,north carolina state university
Harvard University,Computer Science Masters,Accepted,Fall 2024,International,4.0,168.0,harvard university
Arizona State University,Computer Science Masters,Accepted,Fall 2024,International,3.95,165.0,arizona state university
University of Southern California,Computer Science Masters,Accepted,Fall 2024,International,3.95,165.0,university of southern california
Cornell Tech,Computer Science Masters,Accepted,Fall 2024,American,4.0,168.0,cornell tech
University of Texas,Computer Science Masters,Accepted,Fall 2024,International,3.9,157.0,university of texas
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2024,International,4.0,170.0,carnegie mellon university
North Carolina State University,Computer Science Masters,Accepted,Fall 2024,International,3.65,162.0,north carolina state university
York University,Computer Science Masters,Accepted,Fall 2024,International,3.73,167.0,york university
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2024,International,3.0,170.0,suny buffalo
Arizona State University,Computer Science Masters,Accepted,Fall 2024,International,3.6,167.0,arizona state university
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2023,International,3.95,170.0,carnegie mellon university
Stevens Institute of Technology,Computer Science Masters,Accepted,Fall 2023,International,3.72,168.0,stevens institute of technology
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.7,170.0,university of california
University of Maryland Baltimore,Computer Science Masters,Accepted,Fall 2023,International,3.33,162.0,university of maryland baltimore
Northeastern University,Computer Science Masters,Accepted,Fall 2023,International,3.7,163.0,northeastern university
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.7,163.0,university of southern california
Northwestern University,Computer Science Masters,Accepted,Fall 2023,International,3.88,170.0,northwestern university
Northeastern University,Computer Science Masters,Accepted,Fall 2023,International,3.82,165.0,northeastern university
University of Southern California,Computer Science Masters,Accepted,Fall 2023,American,3.67,169.0,university of southern california
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.97,168.0,university of california
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.67,168.0,university of california
University of California,Computer Science Masters,Accepted,Fall 2023,International,4.0,170.0,university of california
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.8,331.0,university of southern california
University of Chicago,Computer Science Masters,Accepted,Fall 2023,International,3.8,331.0,university of chicago
University of Chicago,Computer Science Masters,Accepted,Fall 2023,International,3.5,168.0,university of chicago
Vanderbilt University,Computer Science Masters,Accepted,Fall 2023,American,3.66,162.0,vanderbilt university
University of Chicago,Computer Science Masters,Accepted,Fall 2023,American,3.87,170.0,university of chicago
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.8,165.0,university of southern california
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.6,360.0,university of southern california
University of Southern California,Computer Science Masters,Accepted,Fall 2023,American,3.85,160.0,university of southern california
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.7,155.0,university of southern california
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.65,158.0,university of southern california
University of Southern California,Computer Science Masters,Accepted,Fall 2023,American,3.66,162.0,university of southern california
University Of Illinois,Computer Science Masters,Accepted,Fall 2023,International,3.98,170.0,university of illinois
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2023,International,3.6,169.0,university of massachusetts amherst
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2023,International,3.6,170.0,university of massachusetts amherst
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.76,170.0,columbia university
University Of Waterloo,Computer Science Masters,Accepted,Fall 2023,International,4.0,168.0,university of waterloo
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2023,International,3.0,155.0,carnegie mellon university
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,International,3.9,170.0,university of wisconsin
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.9,170.0,university of california
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.97,169.0,university of california
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.6,169.0,north carolina state university
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.8,168.0,north carolina state university
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.63,169.0,north carolina state university
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.83,167.0,columbia university
Portland State University,Computer Science Masters,Accepted,Fall 2023,International,3.88,160.0,portland state university
Harvard University,Computer Science Masters,Accepted,Fall 2023,International,2.0,170.0,harvard university
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.7,163.0,university of texas
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.99,170.0,columbia university
Northeastern University,Computer Science Masters,Accepted,Fall 2023,International,3.9,169.0,northeastern university
Northwestern University,Computer Science Masters,Accepted,Fall 2023,International,3.83,164.0,northwestern university
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.98,170.0,columbia university
George Washington University,Computer Science Masters,Accepted,Fall 2023,International,3.6,170.0,george washington university
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.86,169.0,north carolina state university
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.9,169.0,columbia university
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.53,163.0,arizona state university
Virginia Tech,Computer Science Masters,Accepted,Fall 2023,International,3.6,166.0,virginia tech
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,International,4.0,168.0,university of wisconsin
Northwestern University,Computer Science Masters,Accepted,Fall 2023,International,3.83,167.0,northwestern university
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2023,International,3.6,167.0,suny buffalo
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2023,International,3.6,166.0,suny buffalo
Santa Clara University,Computer Science Masters,Accepted,Fall 2023,International,3.2,168.0,santa clara university
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.9,169.0,arizona state university
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,American,3.99,168.0,university of wisconsin
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,International,3.9,170.0,university of wisconsin
University Of Waterloo,Computer Science Masters,Accepted,Fall 2023,International,4.0,169.0,university of waterloo
University Of Waterloo,Computer Science Masters,Accepted,Fall 2023,International,4.0,331.0,university of waterloo
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.78,170.0,new york university
Massachusetts Institute of Technology (MIT),Computer Science Masters,Accepted,Fall 2023,International,4.0,169.0,massachusetts institute of technology mit
New York University Tandon,Computer Science Masters,Accepted,Fall 2023,International,3.6,163.0,new york university tandon
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.9,164.0,new york university
Virginia Tech,Computer Science Masters,Accepted,Fall 2023,International,3.9,167.0,virginia tech
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2023,International,3.2,165.0,carnegie mellon university
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.5,164.0,arizona state university
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.2,167.0,new york university
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.78,160.0,university of texas
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.52,155.0,university of california
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.5,168.0,new york university
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.3,169.0,university of texas
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.58,167.0,university of texas
Rochester Institute of Technology,Computer Science Masters,Accepted,Fall 2023,International,3.8,162.0,rochester institute of technology
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.7,165.0,arizona state university
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2023,International,3.84,169.0,university of pennsylvania
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.29,167.0,arizona state university
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.7,157.0,university of texas
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.63,166.0,arizona state university
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.53,169.0,university of california irvine
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.98,170.0,university of southern california
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.9,167.0,north carolina state university
University Of Texas At Arlington,Computer Science Masters,Accepted,Fall 2023,International,3.58,167.0,university of texas at arlington
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.58,167.0,arizona state university
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.66,324.0,university of california irvine
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.83,169.0,university of california irvine
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.84,170.0,university of california irvine
National Chung Cheng University,Computer Science Masters,Accepted,Fall 2023,International,3.84,170.0,national chung cheng university
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.6,170.0,arizona state university
Northeastern University,Computer Science Masters,Accepted,Fall 2023,International,3.02,157.0,northeastern university
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.3,165.0,arizona state university
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.3,165.0,arizona state university
Cornell Tech,Computer Science Masters,Accepted,Fall 2023,International,3.61,170.0,cornell tech
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,American,3.93,167.0,university of california irvine
Rochester Institute of Technology,Computer Science Masters,Accepted,Fall 2023,International,3.6,166.0,rochester institute of technology
University of Michigan,Computer Science Masters,Accepted,Fall 2022,International,3.7,170.0,university of michigan
Delft University of Technology,Computer Science Masters,Accepted,Fall 2021,International,3.6,162.0,delft university of technology
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.96,167.0,university of massachusetts amherst
Johns Hopkins University,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0,johns hopkins university
UNC Charlotte,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0,unc charlotte
George Mason University,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0,george mason university
George Washington University,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0,george washington university
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.28,165.0,university of massachusetts amherst
University of Texas,Computer Science Masters,Accepted,Fall 2022,International,3.28,165.0,university of texas
University Of Stuttgart,Computer Science Masters,Accepted,Fall 2022,International,3.0,170.0,university of stuttgart
University of Florida,Computer Science Masters,Accepted,Fall 2022,American,3.48,161.0,university of florida
University of California,Computer Science Masters,Accepted,Fall 2022,American,3.18,151.0,university of california
University of Chicago,Computer Science Masters,Accepted,Fall 2022,International,3.9,168.0,university of chicago
New York University - Courant,Computer Science Masters,Accepted,Fall 2022,International,3.76,165.0,new york university courant
University of Chicago,Computer Science Masters,Accepted,Fall 2022,International,3.4,169.0,university of chicago
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.9,169.0,texas am university
University Of Massachusetts (Lowell),Computer Science Masters,Accepted,Fall 2022,International,3.36,170.0,university of massachusetts lowell
Courant Institute Of Mathematical Sciences,Computer Science Masters,Accepted,Fall 2022,International,3.3,168.0,courant institute of mathematical sciences
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,2.7,160.0,columbia university
University of North Texas (UNT),Computer Science Masters,Accepted,Fall 2022,International,3.0,160.0,university of north texas unt
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.3,169.0,new york university
New York University,Computer Science Masters,Accepted,Fall 2022,International,4.0,168.0,new york university
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.96,164.0,new york university
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.6,164.0,university of california
Cornell Tech,Computer Science Masters,Accepted,Fall 2022,American,3.33,168.0,cornell tech
University of Southern California,Computer Science Masters,Accepted,Fall 2022,American,3.51,169.0,university of southern california
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0,university of massachusetts amherst
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0,university of california
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0,northeastern university
University of Michigan,Computer Science Masters,Accepted,Fall 2022,International,3.83,170.0,university of michigan
University Of Utah,Computer Science Masters,Accepted,Fall 2022,International,3.5,169.0,university of utah
University of Florida,Computer Science Masters,Accepted,Fall 2022,American,3.72,163.0,university of florida
University of Wisconsin,Computer Science Masters,Accepted,Fall 2022,International,3.7,160.0,university of wisconsin
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.95,167.0,university of california
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.8,170.0,university of california
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0,university of california
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,International,3.73,166.0,university of california ucla
University of Wisconsin,Computer Science Masters,Accepted,Fall 2022,International,3.7,169.0,university of wisconsin
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,American,4.0,170.0,university of california ucsb
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2022,International,2.88,169.0,suny buffalo
Uppsala University,Computer Science Masters,Accepted,Fall 2022,International,3.71,154.0,uppsala university
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.98,170.0,georgia institute of technology
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,American,3.72,166.0,university of california ucla
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.88,169.0,georgia institute of technology
Arizona State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,164.0,arizona state university
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.67,164.0,suny stony brook
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,164.0,north carolina state university
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.84,168.0,georgia institute of technology
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.74,169.0,georgia institute of technology
San Francisco State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,159.0,san francisco state university
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.28,168.0,georgia institute of technology
University of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.0,170.0,university of illinois
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,International,3.7,169.0,university of california ucsb
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0,georgia institute of technology
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,International,3.57,170.0,university of california ucsb
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.75,166.0,georgia institute of technology
University of Colorado Boulder,Computer Science Masters,Accepted,Fall 2022,International,3.68,162.0,university of colorado boulder
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.71,167.0,georgia institute of technology
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.72,167.0,georgia institute of technology
Ohio State University,Computer Science Masters,Accepted,Fall 2022,International,3.94,167.0,ohio state university
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.63,170.0,georgia institute of technology
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.94,167.0,university of california
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.98,163.0,northeastern university
University Of Utah,Computer Science Masters,Accepted,Fall 2022,International,3.42,168.0,university of utah
University Of Utah,Computer Science Masters,Accepted,Fall 2022,International,3.75,166.0,university of utah
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.77,170.0,georgia institute of technology
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.7,169.0,suny stony brook
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.86,170.0,university of southern california
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.58,166.0,suny stony brook
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.65,167.0,georgia institute of technology
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.65,167.0,georgia institute of technology
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.72,170.0,university of southern california
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,3.5,170.0,university of illinois urbana
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.7,166.0,university of massachusetts amherst
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0,university of california irvine
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0,university of california ucsb
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0,university of massachusetts amherst
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.5,170.0,new york university
Duke University,Computer Science Masters,Accepted,Fall 2022,International,3.77,170.0,duke university
New York University,Computer Science Masters,Accepted,Fall 2022,American,3.6,165.0,new york university
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.7,170.0,georgia institute of technology
University of Florida,Computer Science Masters,Accepted,Fall 2022,International,3.5,147.0,university of florida
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.42,168.0,university of massachusetts amherst
Virginia Tech,Computer Science Masters,Accepted,Fall 2022,International,3.64,169.0,virginia tech
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.9,165.0,university of texas at austin
Duke University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0,duke university
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,American,3.7,166.0,university of texas at austin
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0,university of texas at austin
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.71,167.0,university of texas at austin
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0,university of texas at austin
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.8,170.0,university of massachusetts amherst
University of Illinois,Computer Science Masters,Accepted,Fall 2022,American,2.95,165.0,university of illinois
San Jose State University,Computer Science Masters,Accepted,Fall 2022,American,2.95,165.0,san jose state university
Johns Hopkins University,Computer Science Masters,Accepted,Fall 2021,International,3.4,167.0,johns hopkins university
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,3.76,160.0,university of illinois urbana
MILA (UdeM),Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0,mila udem
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.85,167.0,university of southern california
University Of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.91,162.0,university of illinois
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2022,International,3.87,168.0,university of pennsylvania
University of Southern California,Computer Science Masters,Accepted,Fall 2022,American,3.54,169.0,university of southern california
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0,columbia university
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.8,168.0,columbia university
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.61,169.0,university of massachusetts amherst
New Jersey Institute of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.6,159.0,new jersey institute of technology
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.79,167.0,columbia university
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0,columbia university
University of California (UCSC),Computer Science Masters,Accepted,Fall 2022,International,3.3,168.0,university of california ucsc
San Jose State University,Computer Science Masters,Accepted,Fall 2022,International,3.0,166.0,san jose state university
Delft University of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.71,154.0,delft university of technology
Carleton University,Computer Science Masters,Accepted,Fall 2022,International,3.79,165.0,carleton university
San Jose State University,Computer Science Masters,Accepted,Fall 2022,International,3.85,162.0,san jose state university
San Jose State University,Computer Science Masters,Accepted,Fall 2022,International,3.96,158.0,san jose state university
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.91,170.0,university of southern california
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0,university of california ucla
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.78,169.0,carnegie mellon university
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2022,International,3.92,170.0,university of pennsylvania
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.94,170.0,carnegie mellon university
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.68,167.0,university of texas at austin
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,American,3.95,170.0,university of texas at austin
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.9,170.0,north carolina state university
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.8,167.0,university of massachusetts amherst
Penn State University,Computer Science Masters,Accepted,Fall 2022,International,3.36,170.0,penn state university
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.96,164.0,north carolina state university
Johns Hopkins University,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0,johns hopkins university
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0,university of pennsylvania
University of Colorado Boulder,Computer Science Masters,Accepted,Fall 2022,International,3.9,168.0,university of colorado boulder
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0,columbia university
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0,stanford university
Brown University,Computer Science Masters,Accepted,Fall 2022,International,3.94,169.0,brown university
Brown University,Computer Science Masters,Accepted,Fall 2022,American,3.84,167.0,brown university
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0,stanford university
McGill University,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0,mcgill university
Stanford University,Computer Science Masters,Accepted,Fall 2022,American,3.92,169.0,stanford university
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0,stanford university
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.8,169.0,columbia university
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.84,170.0,university of texas at austin
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.7,168.0,stanford university
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0,columbia university
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.53,167.0,university of massachusetts amherst
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,American,3.55,165.0,university of massachusetts amherst
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.7,166.0,rutgers university
University of Florida,Computer Science Masters,Accepted,Fall 2022,International,3.9,165.0,university of florida
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.72,167.0,columbia university
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.86,168.0,columbia university
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.45,169.0,suny stony brook
Kennesaw State University,Computer Science Masters,Accepted,Fall 2022,International,3.39,158.0,kennesaw state university
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.66,166.0,university of massachusetts amherst
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.78,167.0,university of california irvine
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.78,167.0,carnegie mellon university
Syracuse University,Computer Science Masters,Accepted,Fall 2022,International,3.75,305.0,syracuse university
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.21,170.0,rutgers university
University Of Maryland Baltimore,Computer Science Masters,Accepted,Fall 2022,International,3.21,170.0,university of maryland baltimore
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.32,169.0,suny stony brook
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.63,170.0,suny stony brook
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.3,165.0,texas am university
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.58,167.0,texas am university
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.32,167.0,texas am university
Boston University,Computer Science Masters,Accepted,Fall 2022,International,3.74,166.0,boston university
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.3,169.0,carnegie mellon university
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0,suny stony brook
Delft University of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.5,167.0,delft university of technology
Boston University,Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0,boston university
University Of Alberta,Computer Science Masters,Accepted,Fall 2022,International,3.8,167.0,university of alberta
University Of Illinois Urbana-Champaign,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0,university of illinois urbanachampaign
University Of Massachusetts (Boston),Computer Science Masters,Accepted,Fall 2022,International,2.7,165.0,university of massachusetts boston
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.67,168.0,rutgers university
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.7,166.0,rutgers university
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.81,169.0,columbia university
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,American,3.97,165.0,university of massachusetts amherst
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,Fall 2022,International,3.45,170.0,university of illinois urbanachampaign
University Of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.97,170.0,university of illinois
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.97,170.0,university of california
University of Maryland Global Campus,Computer Science Masters,Accepted,Fall 2022,International,3.77,170.0,university of maryland global campus
University Of Toronto,Computer Science Masters,Accepted,Fall 2022,International,3.61,166.0,university of toronto
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.52,168.0,university of california irvine
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0,university of california irvine
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.86,170.0,university of california irvine
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.6,169.0,university of california
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.86,169.0,university of california
Simon Fraser University,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0,simon fraser university
Oregon State University,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0,oregon state university
Northeastern University,Computer Science Masters,Accepted,Fall 2022,American,3.0,155.0,northeastern university
Stevens Institute of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.91,166.0,stevens institute of technology
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,168.0,north carolina state university
University of Colorado Boulder,Computer Science Masters,Accepted,Fall 2022,International,3.75,164.0,university of colorado boulder
Northwestern University,Computer Science Masters,Accepted,Fall 2022,International,3.84,170.0,northwestern university
Yale University,Computer Science Masters,Accepted,Fall 2022,International,3.94,169.0,yale university
Yale University,Computer Science Masters,Accepted,Fall 2022,International,3.6,158.0,yale university
University of Georgia,Computer Science Masters,Accepted,Fall 2022,International,3.6,168.0,university of georgia
Worcester Polytechnic Institute,Computer Science Masters,Accepted,Fall 2022,International,3.6,168.0,worcester polytechnic institute
University of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.71,166.0,university of illinois
Yale University,Computer Science Masters,Accepted,Fall 2022,American,4.0,168.0,yale university
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,American,3.85,164.0,carnegie mellon university
Harvard University,Computer Science Masters,Accepted,Fall 2021,International,2.3,110.0,harvard university
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,International,3.88,167.0,eth zurich
University of California,Computer Science Masters,Accepted,Fall 2022,American,3.9,167.0,university of california
