university,program,decision,term,citizenship,gpa_raw,gre_total
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.98,170.0
George Washington University,Computer Science Masters,Accepted,Fall 2023,International,3.6,170.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.86,169.0
Columbia University,Computer Science Masters,Accepted,Fall 2023,International,3.9,169.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.53,163.0
Virginia Tech,Computer Science Masters,Accepted,Fall 2023,International,3.6,166.0
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,International,4.0,168.0
Northwestern University,Computer Science Masters,Accepted,Fall 2023,International,3.83,167.0
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2023,International,3.6,167.0
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2023,International,3.6,166.0
Santa Clara University,Computer Science Masters,Accepted,Fall 2023,International,3.2,168.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.9,169.0
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,American,3.99,168.0
University of Wisconsin,Computer Science Masters,Accepted,Fall 2023,International,3.9,170.0
University Of Waterloo,Computer Science Masters,Accepted,Fall 2023,International,4.0,169.0
University Of Waterloo,Computer Science Masters,Accepted,Fall 2023,International,4.0,331.0
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.78,170.0
Massachusetts Institute of Technology (MIT),Computer Science Masters,Accepted,Fall 2023,International,4.0,169.0
New York University Tandon,Computer Science Masters,Accepted,Fall 2023,International,3.6,163.0
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.9,164.0
Virginia Tech,Computer Science Masters,Accepted,Fall 2023,International,3.9,167.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2023,International,3.2,165.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.5,164.0
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.2,167.0
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.78,160.0
University of California,Computer Science Masters,Accepted,Fall 2023,International,3.52,155.0
New York University,Computer Science Masters,Accepted,Fall 2023,International,3.5,168.0
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.3,169.0
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.58,167.0
Rochester Institute of Technology,Computer Science Masters,Accepted,Fall 2023,International,3.8,162.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.7,165.0
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2023,International,3.84,169.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.29,167.0
University of Texas,Computer Science Masters,Accepted,Fall 2023,International,3.7,157.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.63,166.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.53,169.0
University of Southern California,Computer Science Masters,Accepted,Fall 2023,International,3.98,170.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2023,International,3.9,167.0
University Of Texas At Arlington,Computer Science Masters,Accepted,Fall 2023,International,3.58,167.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.58,167.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.66,324.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.83,169.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,International,3.84,170.0
National Chung Cheng University,Computer Science Masters,Accepted,Fall 2023,International,3.84,170.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.6,170.0
Northeastern University,Computer Science Masters,Accepted,Fall 2023,International,3.02,157.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.3,165.0
Arizona State University,Computer Science Masters,Accepted,Fall 2023,International,3.3,165.0
Cornell Tech,Computer Science Masters,Accepted,Fall 2023,International,3.61,170.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2023,American,3.93,167.0
Rochester Institute of Technology,Computer Science Masters,Accepted,Fall 2023,International,3.6,166.0
University of Michigan,Computer Science Masters,Accepted,Fall 2022,International,3.7,170.0
Delft University of Technology,Computer Science Masters,Accepted,Fall 2021,International,3.6,162.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.96,167.0
Johns Hopkins University,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0
UNC Charlotte,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0
George Mason University,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0
George Washington University,Computer Science Masters,Accepted,Fall 2022,International,3.22,167.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.28,165.0
University of Texas,Computer Science Masters,Accepted,Fall 2022,International,3.28,165.0
University Of Stuttgart,Computer Science Masters,Accepted,Fall 2022,International,3.0,170.0
University of Florida,Computer Science Masters,Accepted,Fall 2022,American,3.48,161.0
University of California,Computer Science Masters,Accepted,Fall 2022,American,3.18,151.0
University of Chicago,Computer Science Masters,Accepted,Fall 2022,International,3.9,168.0
New York University - Courant,Computer Science Masters,Accepted,Fall 2022,International,3.76,165.0
University of Chicago,Computer Science Masters,Accepted,Fall 2022,International,3.4,169.0
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.9,169.0
University Of Massachusetts (Lowell),Computer Science Masters,Accepted,Fall 2022,International,3.36,170.0
Courant Institute Of Mathematical Sciences,Computer Science Masters,Accepted,Fall 2022,International,3.3,168.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,2.7,160.0
University of North Texas (UNT),Computer Science Masters,Accepted,Fall 2022,International,3.0,160.0
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.3,169.0
New York University,Computer Science Masters,Accepted,Fall 2022,International,4.0,168.0
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.96,164.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.6,164.0
Cornell Tech,Computer Science Masters,Accepted,Fall 2022,American,3.33,168.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,American,3.51,169.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0
University of Michigan,Computer Science Masters,Accepted,Fall 2022,International,3.83,170.0
University Of Utah,Computer Science Masters,Accepted,Fall 2022,International,3.5,169.0
University of Florida,Computer Science Masters,Accepted,Fall 2022,American,3.72,163.0
University of Wisconsin,Computer Science Masters,Accepted,Fall 2022,International,3.7,160.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.95,167.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.8,170.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,International,3.73,166.0
University of Wisconsin,Computer Science Masters,Accepted,Fall 2022,International,3.7,169.0
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,American,4.0,170.0
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2022,International,2.88,169.0
Uppsala University,Computer Science Masters,Accepted,Fall 2022,International,3.71,154.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.98,170.0
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,American,3.72,166.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.88,169.0
Arizona State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,164.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.67,164.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,164.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.84,168.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.74,169.0
San Francisco State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,159.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.28,168.0
University of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.0,170.0
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,International,3.7,169.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,International,3.57,170.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.75,166.0
University of Colorado Boulder,Computer Science Masters,Accepted,Fall 2022,International,3.68,162.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.71,167.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.72,167.0
Ohio State University,Computer Science Masters,Accepted,Fall 2022,International,3.94,167.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.63,170.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.94,167.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.98,163.0
University Of Utah,Computer Science Masters,Accepted,Fall 2022,International,3.42,168.0
University Of Utah,Computer Science Masters,Accepted,Fall 2022,International,3.75,166.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.77,170.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.7,169.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.86,170.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.58,166.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.65,167.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.65,167.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.72,170.0
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,3.5,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.7,166.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0
University of California (UCSB),Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.5,170.0
Duke University,Computer Science Masters,Accepted,Fall 2022,International,3.77,170.0
New York University,Computer Science Masters,Accepted,Fall 2022,American,3.6,165.0
Georgia Institute Of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.7,170.0
University of Florida,Computer Science Masters,Accepted,Fall 2022,International,3.5,147.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.42,168.0
Virginia Tech,Computer Science Masters,Accepted,Fall 2022,International,3.64,169.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.9,165.0
Duke University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,American,3.7,166.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.71,167.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.8,170.0
University of Illinois,Computer Science Masters,Accepted,Fall 2022,American,2.95,165.0
San Jose State University,Computer Science Masters,Accepted,Fall 2022,American,2.95,165.0
Johns Hopkins University,Computer Science Masters,Accepted,Fall 2021,International,3.4,167.0
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,3.76,160.0
MILA (UdeM),Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.85,167.0
University Of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.91,162.0
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2022,International,3.87,168.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,American,3.54,169.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.8,168.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.61,169.0
New Jersey Institute of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.6,159.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.79,167.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0
University of California (UCSC),Computer Science Masters,Accepted,Fall 2022,International,3.3,168.0
San Jose State University,Computer Science Masters,Accepted,Fall 2022,International,3.0,166.0
Delft University of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.71,154.0
Carleton University,Computer Science Masters,Accepted,Fall 2022,International,3.79,165.0
San Jose State University,Computer Science Masters,Accepted,Fall 2022,International,3.85,162.0
San Jose State University,Computer Science Masters,Accepted,Fall 2022,International,3.96,158.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.91,170.0
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.78,169.0
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2022,International,3.92,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.94,170.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.68,167.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,American,3.95,170.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.9,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.8,167.0
Penn State University,Computer Science Masters,Accepted,Fall 2022,International,3.36,170.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.96,164.0
Johns Hopkins University,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0
University of Pennsylvania,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0
University of Colorado Boulder,Computer Science Masters,Accepted,Fall 2022,International,3.9,168.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.4,170.0
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
Brown University,Computer Science Masters,Accepted,Fall 2022,International,3.94,169.0
Brown University,Computer Science Masters,Accepted,Fall 2022,American,3.84,167.0
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0
McGill University,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0
Stanford University,Computer Science Masters,Accepted,Fall 2022,American,3.92,169.0
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.8,169.0
University of Texas at Austin,Computer Science Masters,Accepted,Fall 2022,International,3.84,170.0
Stanford University,Computer Science Masters,Accepted,Fall 2022,International,3.7,168.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.53,167.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,American,3.55,165.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.7,166.0
University of Florida,Computer Science Masters,Accepted,Fall 2022,International,3.9,165.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.72,167.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.86,168.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.45,169.0
Kennesaw State University,Computer Science Masters,Accepted,Fall 2022,International,3.39,158.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.66,166.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.78,167.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.78,167.0
Syracuse University,Computer Science Masters,Accepted,Fall 2022,International,3.75,305.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.21,170.0
University Of Maryland Baltimore,Computer Science Masters,Accepted,Fall 2022,International,3.21,170.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.32,169.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.63,170.0
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.3,165.0
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.58,167.0
Texas A&M University,Computer Science Masters,Accepted,Fall 2022,International,3.32,167.0
Boston University,Computer Science Masters,Accepted,Fall 2022,International,3.74,166.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.3,169.0
SUNY Stony Brook,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0
Delft University of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.5,167.0
Boston University,Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0
University Of Alberta,Computer Science Masters,Accepted,Fall 2022,International,3.8,167.0
University Of Illinois Urbana-Champaign,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0
University Of Massachusetts (Boston),Computer Science Masters,Accepted,Fall 2022,International,2.7,165.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.67,168.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.7,166.0
Columbia University,Computer Science Masters,Accepted,Fall 2022,International,3.81,169.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,American,3.97,165.0
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,Fall 2022,International,3.45,170.0
University Of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.97,170.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.97,170.0
University of Maryland Global Campus,Computer Science Masters,Accepted,Fall 2022,International,3.77,170.0
University Of Toronto,Computer Science Masters,Accepted,Fall 2022,International,3.61,166.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.52,168.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.81,166.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.86,170.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.6,169.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.86,169.0
Simon Fraser University,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0
Oregon State University,Computer Science Masters,Accepted,Fall 2022,International,3.45,166.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,American,3.0,155.0
Stevens Institute of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.91,166.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.67,168.0
University of Colorado Boulder,Computer Science Masters,Accepted,Fall 2022,International,3.75,164.0
Northwestern University,Computer Science Masters,Accepted,Fall 2022,International,3.84,170.0
Yale University,Computer Science Masters,Accepted,Fall 2022,International,3.94,169.0
Yale University,Computer Science Masters,Accepted,Fall 2022,International,3.6,158.0
University of Georgia,Computer Science Masters,Accepted,Fall 2022,International,3.6,168.0
Worcester Polytechnic Institute,Computer Science Masters,Accepted,Fall 2022,International,3.6,168.0
University of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.71,166.0
Yale University,Computer Science Masters,Accepted,Fall 2022,American,4.0,168.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,American,3.85,164.0
Harvard University,Computer Science Masters,Accepted,Fall 2021,International,2.3,110.0
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,International,3.88,167.0
University of California,Computer Science Masters,Accepted,Fall 2022,American,3.9,167.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.88,167.0
University of Southern California,Computer Science - Artificial Intelligence Masters,Accepted,Fall 2022,International,3.97,168.0
Rice University,Computer Science Masters,Accepted,Fall 2022,International,3.5,149.0
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,International,3.95,166.0
University Of Alberta,Computer Science Masters,Accepted,Fall 2022,International,3.95,169.0
Penn State University,Computer Science Masters,Accepted,Fall 2022,American,3.8,158.0
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,American,3.75,165.0
University Of Alberta,Computer Science Masters,Accepted,Fall 2022,International,3.75,166.0
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,International,3.95,169.0
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,International,4.0,169.0
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,3.63,170.0
Indiana University,Computer Science Masters,Accepted,Fall 2022,International,3.48,164.0
ETH Zurich,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.67,170.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.88,169.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,International,3.8,326.0
Penn State University,Computer Science Masters,Accepted,Fall 2021,International,3.81,166.0
Penn State University,Computer Science Masters,Accepted,Fall 2022,International,3.74,166.0
"University of California, Irvine",Computer Science Masters,Accepted,Fall 2022,American,3.9,167.0
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
University of Chicago,Computer Science Masters,Accepted,Fall 2022,International,3.5,169.0
Princeton University,Computer Science Masters,Accepted,Fall 2022,International,3.95,168.0
University of Chicago,Computer Science Masters,Accepted,Fall 2022,International,3.5,169.0
Arizona State University,Computer Science Masters,Accepted,Fall 2022,International,3.3,169.0
University of Chicago,Computer Science Masters,Accepted,Fall 2022,American,3.6,165.0
University of Chicago,Computer Science Masters,Accepted,Fall 2022,American,3.79,165.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.6,169.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.77,163.0
Stevens Institute of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.77,163.0
New Jersey Institute of Technology,Computer Science Masters,Accepted,Fall 2022,International,3.77,163.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
Arizona State University,Computer Science Masters,Accepted,Fall 2022,International,3.4,165.0
George Washington University,Computer Science Masters,Accepted,Fall 2022,International,3.91,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.6,170.0
University of Nebraska at Omaha,Computer Science Masters,Accepted,Fall 2022,International,3.59,162.0
University of San Francisco,Computer Science Bridge Masters,Accepted,Fall 2022,International,3.5,165.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.76,170.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,4.0,164.0
Worcester Polytechnic Institute,Computer Science Masters,Accepted,Fall 2022,International,3.6,168.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.6,168.0
University of Texas,Computer Science Masters,Accepted,Fall 2022,International,3.71,166.0
University of Texas,Computer Science Masters,Accepted,Fall 2022,International,3.21,170.0
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2022,International,3.2,166.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.6,163.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.75,164.0
University of Maryland Global Campus,Computer Science Masters,Accepted,Fall 2022,International,3.9,170.0
University Of Texas At Arlington,Computer Science Masters,Accepted,Fall 2022,International,3.56,159.0
Arizona State University,Computer Science Masters,Accepted,Fall 2022,International,3.89,167.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,4.0,164.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.7,168.0
University Of Toronto,Computer Science Masters,Accepted,Fall 2022,International,3.9,170.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.58,169.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.4,168.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.95,169.0
Purdue University,Computer Science (Professional Degree In Information Security) Masters,Accepted,Fall 2022,International,3.13,169.0
Purdue University,Computer Science Masters,Accepted,Fall 2022,International,3.58,169.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.68,168.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.77,168.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,American,4.0,169.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.8,169.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.6,169.0
Rice University,Computer Science Masters,Accepted,Fall 2022,International,3.67,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.67,170.0
NC State University,Computer Science Masters,Accepted,Fall 2022,International,3.8,168.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.86,170.0
University Of Illinois,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
University of Illinois Urbana,Computer Science Masters,Accepted,Fall 2022,International,3.7,167.0
University Of Illinois,Computer Science Masters,Accepted,Fall 2022,International,3.7,167.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.95,167.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.9,168.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,4.0,170.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,4.0,169.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.8,319.0
North Carolina State University,Computer Science Masters,Accepted,Fall 2022,International,3.94,170.0
Syracuse University,Computer Science Masters,Accepted,Fall 2022,International,3.74,166.0
Rutgers University,Computer Science Masters,Accepted,Fall 2022,International,3.96,170.0
University Of Alberta,Computer Science Masters,Accepted,Fall 2022,International,3.76,158.0
Indiana University,Computer Science Masters,Accepted,Fall 2022,International,3.9,164.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,American,3.75,170.0
SUNY Buffalo,Computer Science Masters,Accepted,Fall 2022,International,3.8,168.0
New York University,Computer Science Masters,Accepted,Fall 2022,International,3.82,167.0
Arizona State University,Computer Science Masters,Accepted,Fall 2022,International,3.3,168.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.75,170.0
University of California (UCLA),Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0
Carnegie Mellon University,Computer Science Masters,Accepted,Fall 2022,International,3.5,168.0
Rice University,Computer Science Masters,Accepted,Fall 2022,International,3.99,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,4.0,169.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.86,168.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.67,170.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.71,170.0
Northwestern University,Computer Science Masters,Accepted,Fall 2022,International,3.71,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,Fall 2022,International,3.48,168.0
California State University,Computer Science Masters,Accepted,Fall 2022,American,3.54,154.0
Purdue University,Computer Science (AI Specialization) Masters,Accepted,Fall 2022,International,3.76,165.0
University of California,Computer Science Masters,Accepted,Fall 2022,International,3.8,166.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,American,3.84,167.0
University of California,Computer Science Masters,Accepted,Fall 2022,American,3.7,170.0
University of Southern California,Computer Science Masters,Accepted,Fall 2022,International,3.8,167.0
Purdue University,Computer Science Masters,Accepted,Fall 2022,International,3.83,169.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.54,162.0
Northeastern University,Computer Science Masters,Accepted,Fall 2022,International,3.75,167.0
