university,program,decision,term,citizenship,gpa_raw,gre_total
University of Texas at Austin,Computer Science Masters,Accepted,F15,American,3.93,165.0
University of Massachusetts Dartmouth,Computer Science Masters,Accepted,F15,International,3.4,144.0
Columbia College,Computer Science Masters,Accepted,F19,American,3.99,170.0
University of Southern California,Computer Science Masters,Accepted,F18,International,3.32,170.0
University of Florida,Computer Science Masters,Accepted,F15,International,3.15,165.0
Technische Universität München (TUM),Computer Science Masters,Accepted,F16,International,4.0,167.0
Cornell University,Computer Science Masters,Accepted,F19,International,3.84,170.0
Columbia University,Computer Science - Machine Learning Masters,Accepted,S18,American,3.38,168.0
SFU,Computer Science In Big Data Masters,Accepted,F15,International,3.78,170.0
University of California,Computer Science Masters,Accepted,F20,International,3.7,162.0
Buffalo State University,Computer Science Masters,Accepted,F17,International,3.46,161.0
Concordia University,Computer Science Masters,Accepted,F15,International,3.68,170.0
New York University,Computer Science Masters,Accepted,F18,International,3.8,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.6,170.0
University of Texas,Computer Science Masters,Accepted,F15,International,3.7,164.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.6,170.0
McGill University,Computer Science Masters,Accepted,F15,International,3.84,168.0
JHU,Computer Science Masters,Accepted,F15,International,3.47,170.0
ETH Zurich,Computer Science Masters,Accepted,F15,International,3.7,161.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,4.0,170.0
Carnegie Mellon University,Computer Science Masters,Accepted,F16,International,3.6,168.0
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.4,165.0
University of Chicago,Computer Science Masters,Accepted,S18,International,3.0,163.0
USC,Computer Science Masters,Accepted,F15,International,3.6,167.0
University of Michigan,Computer Science Masters,Accepted,F16,International,3.5,170.0
Park University,Computer Science Masters,Accepted,F15,International,3.94,168.0
Stevens Institute of Technology,Computer Science Masters,Accepted,F19,International,3.3,161.0
Columbia FFSEAS,Computer Science Masters,Accepted,F18,American,3.6,169.0
Austin College,Computer Science Masters,Accepted,F15,International,3.8,159.0
University of California,Computer Science Masters,Accepted,F16,International,4.0,167.0
Carnegie Mellon University,Computer Science - Robotics Masters,Accepted,F18,International,3.98,170.0
Utah State University,Computer Science Masters,Accepted,F15,International,3.23,168.0
TAMU,Computer Science Masters,Accepted,F17,International,3.76,155.0
University of California,Computer Science Masters,Accepted,F19,International,3.87,167.0
Arizona State University,Computer Science Masters,Accepted,F19,International,3.4,166.0
Brown University,Computer Science Masters,Accepted,F19,International,3.98,165.0
University of Maryland,Computer Science Masters,Accepted,F16,International,3.82,159.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,International,3.4,169.0
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science- Intelligent Robotics Masters,Accepted,F17,International,3.64,163.0
Stanford University,Computer Science Masters,Accepted,F19,American,3.94,169.0
Stony Brook University,Computer Science Masters,Accepted,F19,International,3.33,166.0
University of California,Computer Science Masters,Accepted,F18,International,3.77,169.0
University of California (UCLA),Computer Science Masters,Accepted,F19,American,3.62,165.0
University of Arizona,Computer Science Masters,Accepted,F16,International,3.5,170.0
University of Wisconsin,Computer Science Masters,Accepted,F16,International,3.79,163.0
Technical University Of Munich (TUM),Computer Science Masters,Accepted,F19,International,3.52,167.0
Cornell University,Computer Science Masters,Accepted,F15,American,3.81,157.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F20,International,3.9,170.0
University of California,Computer Science and Engineering Masters,Accepted,F15,American,3.52,169.0
Delft University of Technology,Computer Science- Data Science & Technology Track Masters,Accepted,F20,International,3.43,165.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,American,3.77,161.0
Buffalo State University,Computer Science Engineering Masters,Accepted,F17,International,3.83,169.0
University of Virginia,Computer Science Masters,Accepted,F15,International,3.75,170.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.7,170.0
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.44,165.0
University of Florida,Computer Science Masters,Accepted,F15,International,3.45,168.0
University of Wisconsin,Computer Science Masters,Accepted,F19,International,3.58,170.0
Carnegie Mellon University,"Computer Science,LTI,MLT, Masters (F16) Masters",Accepted,F16,International,3.78,167.0
University of Southern California,Computer Science Masters,Accepted,Spring 2020,American,3.63,167.0
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F17,American,3.65,162.0
"University of California, Irvine",Computer Science Masters,Accepted,F17,International,3.7,170.0
Amherst College,Computer Science Masters,Accepted,F15,American,3.3,162.0
"University of California, Irvine",Computer Science Masters,Accepted,F19,American,3.75,163.0
New York University,Computer Science Masters,Accepted,F17,International,3.35,168.0
"University of California, Los Angeles",Computer Science Masters,Accepted,F17,American,3.65,162.0
University of California,Computer Science Masters,Accepted,F18,International,3.8,168.0
University of Southern California,Computer Science (Networks) Masters,Accepted,F16,International,3.9,169.0
RIT,Computer Science Masters,Accepted,F17,International,3.83,169.0
"University at Buffalo, State University of New York",Computer Science Masters,Accepted,F19,International,3.4,167.0
Columbia College,Computer Science Masters,Accepted,F15,American,3.2,160.0
McGil,Computer Science Masters,Accepted,F18,American,3.14,163.0
Cornell University,Computer Science Masters,Accepted,F19,International,3.45,169.0
University of Toronto,Computer Science Masters,Accepted,F16,American,3.7,160.0
USC Viterbi School Of Enginering,Computer Science Masters,Accepted,F19,International,3.7,164.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.33,168.0
Columbia University,Computer Science Masters,Accepted,F16,American,3.5,168.0
Ohio State University-Main Campus,Computer Science Masters,Accepted,F16,International,3.7,167.0
University of Southern California,Computer Science (Software Engineering) Masters,Accepted,F17,International,3.68,156.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.61,160.0
University of California (UCLA),Computer Science Masters,Accepted,F20,American,3.98,170.0
University of California,Computer Science Masters,Accepted,F18,American,3.6,169.0
Northwestern Universituy,Computer Science Masters,Accepted,F15,International,3.75,167.0
University of Southern California,Computer Science Of Game Development Masters,Accepted,F20,International,3.85,170.0
Columbia College,Computer Science Masters,Accepted,F17,International,4.0,165.0
University of California,Computer Science Masters,Accepted,F17,American,3.15,168.0
University of Wisconsin,Computer Science Masters,Accepted,F15,International,4.0,167.0
KU Leuven,Computer Science Masters,Accepted,S18,International,3.31,164.0
University of Southern California,Computer Science Masters,Accepted,F20,International,3.4,170.0
University of Southern California,Computer Science - Scientists And Engineers Masters,Accepted,F18,International,3.9,167.0
Cornell University,Computer Science Masters,Accepted,F15,International,3.7,164.0
University of California (UCLA),Computer Science Masters,Accepted,F17,International,3.77,168.0
University of Colorado Boulder,Computer Science Masters,Accepted,F17,American,3.79,159.0
University of Toronto,Computer Science: MSc In Applied Computing Masters,Accepted,F17,International,3.7,169.0
University of Wisconsin,Computer Science Masters,Accepted,F19,American,3.3,158.0
University of Southern California,Computer Science MS Masters,Accepted,F18,American,3.61,170.0
"University of California, Irvine",Computer Science Masters,Accepted,F18,American,3.6,169.0
Utah State University,Computer Science Masters,Accepted,F16,International,3.26,164.0
Georgia Institute of Technology,Computer Science Information Security Masters,Accepted,F16,International,3.6,152.0
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.93,170.0
Arizona State University,Computer Science Masters,Accepted,F15,International,3.86,165.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F15,International,3.83,800.0
University of Texas,Computer Science Masters,Accepted,F16,International,3.9,163.0
ETH Zurich,Computer Science (Visual Computing Track) Masters,Accepted,F16,International,3.8,167.0
Arizona State University,Computer Science Masters,Accepted,F15,International,3.4,164.0
University of Alberta,Computer Science Masters,Accepted,F18,International,3.65,170.0
National University,Computer Science Masters,Accepted,F18,International,3.92,170.0
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F18,International,3.64,163.0
University of California,Computer Science MS Masters,Accepted,F18,American,3.82,165.0
University of California (UCSC),Computer Science Masters,Accepted,F15,International,3.94,161.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F16,American,3.3,166.0
University of Southern California,Computer Science Masters,Accepted,F20,International,3.72,170.0
University of California,"Computer Science, MEng Masters",Accepted,F16,International,3.9,170.0
University of Alberta,Computer Science Masters,Accepted,F19,International,3.8,161.0
New York University,Computer Science Masters,Accepted,F15,International,3.97,800.0
Binghamton University,Computer Science Masters,Accepted,F15,International,3.7,162.0
Penn State University,Computer Science Masters,Accepted,F19,International,3.2,169.0
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.5,170.0
"University of California, Irvine",Computer Science Masters,Accepted,F15,International,3.55,165.0
CMU MCDS,Computer Science Masters,Accepted,F15,International,3.73,168.0
San Jose State University,Computer Science Masters,Accepted,F15,International,3.05,168.0
Illinois State University,Computer Science Masters,Accepted,F19,American,4.0,167.0
University of Virginia,Computer Science Masters,Accepted,F19,American,3.89,169.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F20,International,3.8,169.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.6,163.0
University of California (UCSB),Computer Science Masters,Accepted,F18,American,3.84,164.0
University of Southern California,Computer Science Masters,Accepted,F19,International,3.76,166.0
University of Southern California,Computer Science Masters,Accepted,F17,American,3.48,159.0
Amherst College,Computer Science Masters,Accepted,F19,International,3.4,318.0
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F15,International,3.9,169.0
New Jersey Institute of Technology,Computer Science Masters,Accepted,F17,International,3.3,161.0
University of Wisconsin,Computer Science Masters,Accepted,F18,American,3.82,162.0
Ucb,Computer Science Masters,Accepted,F20,International,3.0,170.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.65,163.0
University of Virginia,Computer Science Masters,Accepted,F17,International,3.75,152.0
University of Southern California,Computer Science (Multimedia & Creative Tech) Masters,Accepted,F18,International,3.88,169.0
UCB,Computer Science MEng Masters,Accepted,F16,International,3.2,165.0
University of San Diego,Computer Science Masters,Accepted,F19,American,3.6,168.0
University of Pennsylvania,Computer Science Masters,Accepted,F16,International,3.87,162.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,American,3.8,165.0
Stony Brook University,"Computer Science, Masters (F15) Masters",Accepted,F15,International,3.35,170.0
New York University,Computer Science Masters,Accepted,F17,American,3.03,162.0
Stanford University,Computer Science Masters,Accepted,F19,International,3.9,156.0
University of California-Riverside,Computer Science Masters,Accepted,F19,International,3.5,160.0
Penn State University,Computer Science Masters,Accepted,F15,American,3.68,161.0
Northeastern University,Computer Science Masters,Accepted,F17,International,3.62,168.0
New York University,Computer Science Masters,Accepted,F16,American,3.96,169.0
"University of California, Irvine",Computer Science Masters,Accepted,F18,American,3.61,170.0
University of California (UCSB),Computer Science Masters,Accepted,F17,International,3.49,170.0
University of Rochester,Computer Science Masters,Accepted,F15,International,3.0,170.0
University of Pennsylvania,Computer Science - EMBS Masters,Accepted,F17,American,3.9,170.0
University of Southern California,Computer Science Masters,Accepted,F17,American,2.97,159.0
University of Michigan,Computer Science and Engineering Masters,Accepted,F19,American,3.61,169.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.98,170.0
University of Delaware,Computer Science Masters,Accepted,F15,International,3.75,147.0
CMU,Computer Science Masters,Accepted,F15,International,3.94,168.0
Columbia College,Computer Science Masters,Accepted,F18,International,3.5,170.0
Columbia College,Computer Science Masters,Accepted,F19,American,3.7,169.0
"University of California, Irvine",Computer Science Masters,Accepted,F20,International,3.82,170.0
Stony Brook University,Computer Science Masters,Accepted,F15,International,3.75,170.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F19,International,3.9,330.0
The University Of Pennsylvaia (UPenn),Computer Science and Engineering Masters,Accepted,F16,International,3.6,166.0
University of Southern California,Computer Science - Scientists And Engineers Masters,Accepted,S17,American,3.73,167.0
University of Delaware,Computer Science Masters,Accepted,F15,International,3.75,170.0
Illinois Institute of Technology,Computer Science Masters,Accepted,F18,International,3.8,163.0
Carnegie Mellon University,Computer Science Masters,Accepted,F15,International,3.75,170.0
University of Toronto,Computer Science Masters,Accepted,F16,International,3.58,170.0
Northeastern University,Computer Science Masters,Accepted,F19,International,3.9,170.0
University of California,Computer Science Masters,Accepted,F20,American,3.75,165.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.77,161.0
University of California (UCLA),Computer Science Masters,Accepted,F15,American,3.6,161.0
University of Southern California,Computer Science Masters,Accepted,Spring 2020,International,3.68,168.0
Arizona State University,Computer Science Masters,Accepted,F20,International,3.2,169.0
North Carolina State University,Computer Science Masters,Accepted,F19,International,3.5,169.0
New York University,Computer Science Masters,Accepted,F20,International,3.88,170.0
Berkeley College,Computer Science Masters,Accepted,F17,American,3.72,165.0
