rank_bin,mean,count
1-10,0.5277337559429477,631
11-25,0.5052083333333334,384
26-50,0.6850180505415162,1108
51-100,0.672,125
101-200,0.6737907761529809,889
201-500,0.6915520628683693,509
501+,0.7569444444444444,144
